key,EN text,current KM,issue tags,proposed KM,reviewer,status
"appTitle","Master Elf Feng Shui","Master Elf ហុងស៊ុយ (Feng Shui)","english_leak","","Master Elf team","open"
"masterElfSystem","Master Elf System","ប្រព័ន្ធកម្មវិធី Master Elf","english_leak","","Master Elf team","open"
"masterElfSystemSpotlightTitle","Master Elf System","ប្រព័ន្ធកម្មវិធី Master Elf","english_leak","","Master Elf team","open"
"masterElfSystemSpotlightDesc","The complete BaZi and Chinese metaphysics platform. Plot charts, analyse timing and access Master Elf's system online.","វេទិកាប៉ាជឺ (BaZi) និងរូបវិទ្យាចិនបុរាណពេញលេញ។ គូរក្រាប វិភាគពេលវេលា និងចូលប្រើប្រព័ន្ធ Master Elf តាមអនឡាញ។","english_leak","","Master Elf team","open"
"openMasterElfSystem","Open Master Elf System","បើកប្រព័ន្ធកម្មវិធី Master Elf","english_leak","","Master Elf team","open"
"masterElfSubscriptionPrice","9.99","9.99","same_as_en","","Master Elf team","open"
"period9SpotlightDesc","Carry Period 9 Feng Shui and timing insights in your pocket. Available on iOS and Android.","យកចំណេះដឹងហុងស៊ុយ (Feng Shui) និងពេលវេលាយុគទី ៩ ទៅជាមួយអ្នក។ មានលើ iOS និង Android។","english_leak","","Master Elf team","open"
"downloadOnAppStore","Download on the App Store","ដោនឡូតពី App Store","english_leak","","Master Elf team","open"
"getItOnGooglePlay","Get it on Google Play","ដោនឡូតពី Google Play","english_leak","","Master Elf team","open"
"talismanProductPrice","29.99","29.99","same_as_en","","Master Elf team","open"
"bookStoreSectionHeading","Master Elf Book Store","ហាងសៀវភៅ Master Elf","english_leak","","Master Elf team","open"
"bookStoreSectionMarketing","Master Elf's curated library—written for homes, businesses, and life decisions. Pick one volume or build your full foundation.","ស្វែងយល់ជ្រៅទៅក្នុងហុងស៊ុយ (Feng Shui) យុគទី ៩ (Period 9) និងរូបវិទ្យាចិនបុរាណ ជាមួយសៀវភៅដែលយើងជ្រើសរើស។ ល្អសម្រាប់អ្នកអនុវត្ត និងអ្នកចូលចិត្ត—ជាវឥឡូវ ហើយផ្លាស់ប្តូរការយល់ឃើញរបស់អ្នក។","english_leak","","Master Elf team","open"
"bookStoreBundleSaveLabel","Save {amount} vs buying separately","សន្សំ {amount} ធៀបនឹងទិញដាច់","english_leak","","Master Elf team","open"
"bookStoreBlessingBundleHook","Five disciplines, one trusted set—the library Master Elf recommends.","វិជ្ជាប្រាំ សៀវភៅមួយឈុត—បណ្ណាល័យដែល Master Elf ណែនាំ។","english_leak","","Master Elf team","open"
"bookStoreBook1Title","Modern Feng Shui","ហុងស៊ុយ (Feng Shui) ទំនើប","english_leak","","Master Elf team","open"
"bookStoreBook1Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStoreBook2Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStoreBook3Title","Strategic I Ching","អ៊ីជីង (I Ching) យុទ្ធសាស្ត្រ","english_leak","","Master Elf team","open"
"bookStoreBook3Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStoreBook4Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStoreBook5Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStoreBlessingBundlePrice","99.99","99.99","same_as_en","","Master Elf team","open"
"bookStoreBlessingBundleOriginalPrice","124.95","124.95","same_as_en","","Master Elf team","open"
"bookStorePeriod9Book1Title","Period 9 Feng Shui — Volume 1","ហុងស៊ុយ (Feng Shui) យុគទី ៩ — ភាគ ១","english_leak","","Master Elf team","open"
"bookStorePeriod9Book1Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStorePeriod9Book2Title","Period 9 Feng Shui — Volume 2","ហុងស៊ុយ (Feng Shui) យុគទី ៩ — ភាគ ២","english_leak","","Master Elf team","open"
"bookStorePeriod9Book2Price","24.99","24.99","same_as_en","","Master Elf team","open"
"bookStorePricePrefix","$","$","same_as_en","","Master Elf team","open"
"appFeatureDateSelection","Date Selection","ការជ្រើសរើសថ្ងៃ (Date Selection)","english_leak","","Master Elf team","open"
"mediaPostsFacebookLink","facebook.com/masterelf.vip","facebook.com/masterelf.vip","same_as_en","","Master Elf team","open"
"mediaPostsTelegramLink","t.me/hongchhayheng","t.me/hongchhayheng","same_as_en","","Master Elf team","open"
"heroMasterElfCaption","Master Elf","Master Elf","same_as_en;english_leak","","Master Elf team","open"
"copyright","Copyright © {year} {company}. All rights reserved.","រក្សាសិទ្ធិ © {year} {company}។ រក្សាសិទ្ធិទាំងអស់។","english_leak","","Master Elf team","open"
"heroHeadline1Prefix","","","empty;same_as_en","","Master Elf team","open"
"heroSubline","Feng Shui & Life Planning Services","សេវាហុងស៊ុយ (Feng Shui) និងរៀបចំជីវិត","english_leak","","Master Elf team","open"
"eventsSectionSubline","Join Master Elf live — workshops, revelations, and field sessions.","ចូលរួម Master Elf ផ្ទាល់ — វគ្គសិក្សា ការបញ្ចេញ និង session ក្នុងវាល។","english_leak","","Master Elf team","open"
"sectionStoryHeading","The Story of Master Elf.","អំពី Master Elf។","english_leak","","Master Elf team","open"
"sectionStoryPara1","Master Elf prepared you for the first 50% of success, then guides you with another 50% to reap the benefit for you.","Master Elf រៀបចំអ្នកសម្រាប់ ៥០% ដំបូងនៃភាពជោគជ័យ បន្ទាប់មកណែនាំអ្នកជាមួយ ៥០% ទៀតដើម្បីទទួលប្រយោជន៍ដល់អ្នក។","english_leak","","Master Elf team","open"
"sectionStoryCtaButton","Master Elf's Endeavor","ការខិតខំរបស់ Master Elf","english_leak","","Master Elf team","open"
"academyFengShui","Feng Shui Charter™","ហុងស៊ុយ (Feng Shui) Charter™","english_leak","","Master Elf team","open"
"academyDateSelection","Date Selection™","ការជ្រើសរើសថ្ងៃ (Date Selection)™","english_leak","","Master Elf team","open"
